nom,adresse,coordonnees,,Id,rue,code_postal,ville
Amap D'Albi,"81000
Albi",,,id_1,,CP_81000,Albi
A la bonne francquette,"Rue Pierre-joseph Proudhon
69100
Villeurbanne",,,id_2,Rue Pierre-joseph Proudhon,CP_69100,Villeurbanne
Aimap,"1072 Av de la Tarentaise
73210
Aime-la-Plagne",,,id_3,1072 Av de la Tarentaise,CP_73210,Aime-la-Plagne
Amalpin - Grésivaudan,"Place Du Foyer
38830
Saint-Pierre-D'Allevard",,,id_4,Place Du Foyer,CP_38830,Saint-Pierre-D'Allevard
Amap À La Noix St Bruno,"7 bis Rue Aristide Bergès
38000
Grenoble",,,id_5,7 bis Rue Aristide Bergès,CP_38000,Grenoble
Amap À La Source,"Rue Tallard
38580
Allevard",,,id_6,Rue Tallard,CP_38580,Allevard
Amap Aa58,"58 Rue Raulin
69007
Lyon",,,id_7,58 Rue Raulin,CP_69007,Lyon
Amap Agrigouteurs,"33 Rue J Bouchayer
38000
Grenoble",,,id_8,33 Rue J Bouchayer,CP_38000,Grenoble
Amap Alpage,"249 Rue Vendôme
69003
Lyon",,,id_9,249 Rue Vendôme,CP_69003,Lyon
Amap Assieu - Nord Isere,"Rue des Bruyeres
38150
Assieu",,,id_10,Rue des Bruyeres,CP_38150,Assieu
Amap Au Carré,"5 Place Bir Hakeim
38000
Grenoble",,,id_11,5 Place Bir Hakeim,CP_38000,Grenoble
Amap Aubenas,"Quartier Saint Martin
07200
Aubenas",,,id_12,Quartier Saint Martin,CP_07200,Aubenas
"
Amap Aux Potes","2 Rue Gustave Flaubert
38100
Grenoble",,,id_13,2 Rue Gustave Flaubert,CP_38100,Grenoble
Amap Aux Pôtes,"87 Rue Pierre Voyant
69100
Villeurbanne",,,id_14,87 Rue Pierre Voyant,CP_69100,Villeurbanne
Amap Barraux - Gresivaudan,"Rue du Fort
38530
Barraux",,,id_15,Rue du Fort,CP_38530,Barraux
Amap Bernin - Gresivaudan,"Chemin du Clot
38190
Bernin",,,id_16,Chemin du Clot,CP_38190,Bernin
Amap Bien Assis,"10 Rue de Bien - Assis
63100
Clermont-Ferrand",,,id_17,10 Rue de Bien - Assis,CP_63100,Clermont-Ferrand
Amap Bio De Chamalières,"6 Rue Paul Lapie
63400
Chamalières",,,id_18,6 Rue Paul Lapie,CP_63400,Chamalières
Amap Bio De Cournon D'Auvergne,"Rue des Laveuses
63800
Cournon-d'Auvergne",,,id_19,Rue des Laveuses,CP_63800,Cournon-d'Auvergne
Amap Bio D'Or Limonest,"Avenue Général de Gaulle
69760
Limonest",,,id_20,Avenue Général de Gaulle,CP_69760,Limonest
Amap De Carouge,"Hameau De Carouge
01270
Villemotier",,,id_21,Hameau De Carouge,CP_01270,Villemotier
Amap De Chignat,"14 Avenue Léon Blum
63910
Vertaizon",,,id_22,14 Avenue Léon Blum,CP_63910,Vertaizon
Amap De Couffouleux,"Hall De La Salle Polyvalente Hervé De Guerdavid - Rue Des Ecoles
81800
Couffouleux",,,id_23,Hall De La Salle Polyvalente Hervé De Guerdavid - Rue Des Ecoles,CP_81800,Couffouleux
Amap De Feurs,"5 Chemin du Riou
42110
Feurs",,,id_24,5 Chemin du Riou,CP_42110,Feurs
