Identifiant unique ,Données renseignées de l'AMAP ,,,,,"Commune, code commune INSEE",,Bassin de vie,,Zone d'emploi,,Coordonnées,,Autre,
id,amap,adresse,rue,code_postal,commune_renseignee,commune_corrigee,CODGEO,BV2022,LIBBV2022,ZE2020,LIBZE2020,latitude,longitude,doublon (1 si oui),Rq
id_1,Amap D'Albi,"81000
Albi",,CP_81000,Albi,Albi,CI_81004,BV_81004,Albi,ZE_7602,Albi,"43,9277552","2,147899",,
id_2,A la bonne francquette,"Rue Pierre-joseph Proudhon
69100
Villeurbanne",Rue Pierre-joseph Proudhon,CP_69100,Villeurbanne,Villeurbanne,CI_69266,BV_69123,Lyon,ZE_8421,Lyon,"45,7739989","4,8918256",,
id_3,Aimap,"1072 Av de la Tarentaise
73210
Aime-la-Plagne",1072 Av de la Tarentaise,CP_73210,Aime-la-Plagne,Aime-la-Plagne,CI_73006,BV_73006,Aime-la-Plagne,ZE_8413,La Tarentaise,45.5057,6.6803,,
id_4,Amalpin - Grésivaudan,"Place Du Foyer
38830
Saint-Pierre-D'Allevard",Place Du Foyer,CP_38830,Saint-Pierre-D'Allevard,Crêts-en-Belledonne,CI_38439,BV_38006,Allevard,ZE_8409,Grenoble,"45,3756685","6,0487695",,
id_5,Amap À La Noix St Bruno,"7 bis Rue Aristide Bergès
38000
Grenoble",7 bis Rue Aristide Bergès,CP_38000,Grenoble,Grenoble,CI_38185,BV_38185,Grenoble,ZE_8409,Grenoble,"45,1924816","5,7182225",,
id_6,Amap À La Source,"Rue Tallard
38580
Allevard",Rue Tallard,CP_38580,Allevard,Allevard,CI_38006,BV_38006,Allevard,ZE_8409,Grenoble,"45,3919786","6,0762138",,
id_7,Amap Aa58,"58 Rue Raulin
69007
Lyon",58 Rue Raulin,CP_69007,Lyon,LYON 07,CI_69123,BV_69123,Lyon,ZE_8421,Lyon,"45,7460348","4,8336286",,
id_8,Amap Agrigouteurs,"33 Rue J Bouchayer
38000
Grenoble",33 Rue J Bouchayer,CP_38000,Grenoble,Grenoble,CI_38185,BV_38185,Grenoble,ZE_8409,Grenoble,45.1667,5.7167,,
id_9,Amap Alpage,"249 Rue Vendôme
69003
Lyon",249 Rue Vendôme,CP_69003,Lyon,LYON 03,CI_69123,BV_69123,Lyon,ZE_8421,Lyon,"45,7560105","4,847734",,
id_10,Amap Assieu - Nord Isere,"Rue des Bruyeres
38150
Assieu",Rue des Bruyeres,CP_38150,Assieu,Assieu,CI_38017,BV_38544,Vienne,ZE_8433,Vienne-Annonay,"45,4052614","4,8530272",,
